months_as_customer,age,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,auto_make,auto_model,injury_share,property_share,target,days_since_bind,incident_month,vehicle_age,collision_type_missing,authorities_contacted_missing,property_damage_missing,police_report_available_missing,hour_sin,hour_cos,hour_bin_4,csl_per_person,csl_per_incident
75,25,IL,1000,1389.86,0,FEMALE,Associate,priv-house-serv,hiking,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Springfield,23,2,Missing,2,3,YES,65100,Saab,93,0.1,0.1,0,1143,1,4,0,0,1,0,-0.2588190451025207,0.9659258262890684,Evening (18-23),500,1000
151,37,IN,500,1366.42,0,FEMALE,Associate,protective-serv,cross-fit,unmarried,44000,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Arlington,14,3,NO,1,2,YES,59100,Nissan,Maxima,0.1,0.1,1,850,2,17,0,0,0,0,-0.5000000000000001,-0.8660254037844386,Afternoon (12-17),250,500
148,30,OH,500,1471.24,0,FEMALE,Masters,farming-fishing,camping,own-child,57500,-93600,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NC,Riverwood,4,3,NO,2,2,NO,32480,Dodge,Neon,0.125,0.125,0,4660,1,18,0,0,0,0,0.8660254037844386,0.5000000000000001,Night (0-5),100,300
107,31,IN,500,1239.22,7000000,FEMALE,High School,tech-support,paintball,not-in-family,43400,-91200,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Springfield,12,1,YES,0,1,NO,89700,Audi,A5,0.1538461538461538,0.1538461538461538,1,1262,1,6,0,0,0,0,1.2246467991473532e-16,-1.0,Afternoon (12-17),250,500
243,43,IN,500,1307.74,0,FEMALE,Associate,machine-op-inspct,board-games,own-child,0,-75700,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Riverwood,10,3,Missing,0,1,NO,37530,Jeep,Wrangler,0.1111111111111111,0.1111111111111111,0,3281,1,7,0,0,1,0,0.4999999999999999,-0.8660254037844387,Morning (6-11),500,1000
478,64,OH,500,835.02,0,FEMALE,Associate,adm-clerical,reading,unmarried,59600,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,17,3,NO,1,1,NO,33930,BMW,X6,0.0,0.1111111111111111,0,8932,2,17,0,0,0,0,-0.9659258262890684,-0.2588190451025206,Afternoon (12-17),250,500
1,33,IL,500,903.32,0,FEMALE,High School,transport-moving,yachting,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Northbend,1,3,Missing,1,0,Missing,31700,Toyota,Highlander,0.2,0.1,0,7062,1,9,0,0,1,1,0.2588190451025207,0.9659258262890684,Night (0-5),250,500
210,38,IN,500,999.52,0,MALE,JD,tech-support,golf,other-relative,0,0,Vehicle Theft,Missing,Minor Damage,Police,VA,Springfield,6,1,Missing,1,2,NO,8640,Accura,TL,0.1666666666666666,0.0833333333333333,0,5869,1,7,1,0,1,0,1.0,6.123233995736766e-17,Morning (6-11),250,500
458,62,IL,2000,1356.92,5000000,MALE,Associate,handlers-cleaners,base-jumping,wife,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Other,NY,Arlington,2,1,Missing,0,1,YES,46980,Audi,A5,0.1111111111111111,0.1111111111111111,0,1196,2,17,0,0,1,0,0.4999999999999999,0.8660254037844387,Night (0-5),500,1000
475,61,IL,500,1265.72,0,FEMALE,Masters,handlers-cleaners,paintball,wife,0,-59500,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,23,1,YES,0,2,Missing,64350,Mercedes,E400,0.1538461538461538,0.1538461538461538,0,3842,2,17,0,0,0,1,-0.2588190451025207,0.9659258262890684,Evening (18-23),500,1000
435,58,IN,2000,1145.85,0,MALE,JD,sales,movies,not-in-family,0,-40000,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Columbus,19,3,Missing,1,1,YES,41490,Mercedes,E400,0.2222222222222222,0.1111111111111111,0,6265,1,11,0,0,1,0,-0.9659258262890684,0.2588190451025203,Evening (18-23),100,300
276,47,IN,1000,1724.09,0,MALE,PhD,craft-repair,yachting,own-child,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,23,3,YES,0,0,Missing,65780,Chevrolet,Tahoe,0.0909090909090909,0.1818181818181818,0,7878,1,1,0,0,0,1,-0.2588190451025207,0.9659258262890684,Evening (18-23),100,300
113,29,OH,2000,1091.73,0,MALE,PhD,exec-managerial,golf,not-in-family,36100,-42300,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Springfield,15,3,Missing,0,2,YES,49950,Nissan,Ultima,0.1111111111111111,0.1111111111111111,1,2561,1,11,0,0,1,0,-0.7071067811865475,-0.7071067811865477,Afternoon (12-17),250,500
88,30,IN,1000,1437.88,0,FEMALE,College,transport-moving,reading,husband,42800,-51200,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,3,1,NO,2,0,YES,56000,Chevrolet,Malibu,0.25,0.0,0,8239,2,12,0,0,0,0,0.7071067811865475,0.7071067811865476,Night (0-5),100,300
220,42,IN,1000,1281.72,0,MALE,College,farming-fishing,hiking,other-relative,33500,-49500,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Northbend,20,4,NO,0,2,YES,47740,Honda,Civic,0.0909090909090909,0.0909090909090909,0,7494,2,10,0,0,0,0,-0.8660254037844386,0.5000000000000001,Evening (18-23),100,300
328,46,IL,500,1314.6,0,FEMALE,MD,prof-specialty,exercise,not-in-family,24800,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Hillsdale,0,1,Missing,2,3,Missing,70290,Saab,92x,0.1818181818181818,0.0909090909090909,1,6823,2,17,0,0,1,1,0.0,1.0,Night (0-5),500,1000
133,30,IN,1000,1231.01,0,MALE,College,adm-clerical,board-games,husband,0,-31700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,SC,Riverwood,19,3,NO,1,2,Missing,28440,Dodge,Neon,0.1111111111111111,0.1111111111111111,0,3420,2,8,0,0,0,1,-0.9659258262890684,0.2588190451025203,Evening (18-23),500,1000
61,23,IL,500,1111.72,0,MALE,JD,exec-managerial,bungie-jumping,other-relative,54600,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,PA,Riverwood,6,1,Missing,1,2,Missing,41850,Suburu,Legacy,0.1111111111111111,0.1111111111111111,0,2910,2,18,0,0,1,1,1.0,6.123233995736766e-17,Morning (6-11),100,300
366,50,IN,1000,1561.41,0,FEMALE,High School,handlers-cleaners,basketball,husband,21200,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,5,3,YES,1,3,NO,70290,Mercedes,C300,0.1818181818181818,0.1818181818181818,0,8946,1,3,0,0,0,0,0.9659258262890684,0.2588190451025207,Night (0-5),500,1000
31,36,IL,2000,1318.24,9000000,FEMALE,College,prof-specialty,kayaking,not-in-family,0,-78600,Parked Car,Missing,Trivial Damage,Missing,WV,Arlington,9,1,NO,0,1,YES,4700,Dodge,Neon,0.2,0.1,0,5647,1,13,1,1,0,0,0.7071067811865476,-0.7071067811865475,Morning (6-11),500,1000
215,42,OH,500,1848.81,0,MALE,JD,transport-moving,video-games,own-child,0,-49000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,20,3,YES,2,2,YES,68520,Suburu,Legacy,0.1666666666666666,0.0833333333333333,1,2292,2,12,0,0,0,0,-0.8660254037844386,0.5000000000000001,Evening (18-23),500,1000
179,32,OH,2000,1246.68,0,FEMALE,PhD,priv-house-serv,movies,own-child,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,Arlington,10,1,Missing,0,1,Missing,53100,Suburu,Impreza,0.1111111111111111,0.1111111111111111,0,6618,1,9,0,0,1,1,0.4999999999999999,-0.8660254037844387,Morning (6-11),500,1000
